"Prey type","Character","Ntaxa","phyloglmAIC","phyloglmP","phyloglm_b","glmAIC","glmP","glm_b"
"Fish diet","Rhopaloneme.width..um.","13",21.984,0.996,0.005,21.906,0.844,-0.194
"Fish diet","Cnidoband.length..um.","21",30.792,0.236,0.375,30.794,0.16,0.444
"Fish diet","Cnidoband.free.length..um.","21",31.188,0.459,0.186,31.827,0.281,0.273
"Fish diet","Cnidoband.width..um.","21",29.337,0.097,0.904,28.99,0.078,0.986
"Fish diet","Haploneme.row.number..um.","21",30.866,0.999,0.001,31.957,0.31,0.706
"Fish diet","Tentacle.width..um.","22",28.927,0.058,0.804,28.771,0.044,0.874
"Fish diet","Pedicle.width..um.","21",28.21,0.074,0.815,27.839,0.049,0.918
"Fish diet","Elastic.strand.width..um.","15",23.174,0.498,0.293,23.187,0.338,0.436
"Fish diet","Involucrum.length..um.","13",18.606,0.972,0.014,19.194,0.367,0.336
"Fish diet","coiledness","21",30.871,0.961,-0.034,32.763,0.586,-0.379
"Fish diet","heteroneme_elongation","19",26.69,1,0,29.731,0.717,0.273
"Fish diet","haploneme_elongation","21",29.489,0.208,-0.836,29.745,0.105,-1.23
"Fish diet","desmoneme_elongation","13",21.887,0.716,-1.368,20.776,0.301,-3.98
"Fish diet","rhopaloneme_elongation","13",19.407,0.174,-9.693,18.711,0.183,-9.661
"Fish diet","heteroneme_shaft_extension","19",26.622,1,0,29.858,0.94,0.176
"Fish diet","Heteroneme_to_CB","18",25.79,0.608,-0.167,27.231,0.237,-0.396
"Fish diet","total_heteroneme_volume","17",23.878,0.303,0.176,24.868,0.169,0.227
"Fish diet","total_haploneme_volume","21",30.769,0.24,0.209,30.88,0.166,0.248
"Fish diet","cnidomic_index","22",32.067,0.278,0.164,32.419,0.173,0.203
"Fish diet","SAV_haploneme","21",28.258,0.098,-1.329,27.596,0.044,-1.768
"Amphipod diet","Heteroneme.free.length..um.","19",25.794,1,0,27.697,0.967,0.028
"Amphipod diet","Heteroneme.width..um.","19",25.786,0.966,-0.032,27.568,0.72,-0.263
"Amphipod diet","Heteroneme.volume..um3.","19",25.937,0.845,-0.053,27.641,0.81,-0.062
"Amphipod diet","Heteroneme.shaft.free.length..um.","19",25.76,0.999,-0.001,27.681,0.893,-0.088
"Amphipod diet","Heteroneme.shaft.width..um.","19",25.803,0.985,-0.015,27.642,0.812,-0.183
"Amphipod diet","Heteroneme.number","17",21.504,0.393,-0.323,22.007,0.176,-0.584
"Amphipod diet","Haploneme.free.length..um.","21",26.812,0.944,0.058,29.1,0.869,0.139
"Amphipod diet","Haploneme.width..um.","21",26.248,0.429,-0.58,27.11,0.181,-0.993
"Amphipod diet","Desmoneme.length..um.","13",20.946,0.367,-1.171,19.1,0.157,-2.223
"Amphipod diet","Desmoneme.width..um.","13",21.214,0.482,-0.861,19.923,0.227,-1.822
"Amphipod diet","Rhopaloneme.length..um.","13",19.687,0.234,-1.605,17.785,0.119,-2.786
"Amphipod diet","Rhopaloneme.width..um.","13",21.287,0.479,-0.787,19.992,0.214,-1.566
"Amphipod diet","Cnidoband.length..um.","21",26.623,0.372,-0.326,27.877,0.291,-0.365
"Amphipod diet","Cnidoband.free.length..um.","21",26.96,0.631,-0.135,28.813,0.58,-0.149
"Amphipod diet","Cnidoband.width..um.","21",26.207,0.274,-0.659,27.54,0.244,-0.652
"Amphipod diet","Haploneme.row.number..um.","21",26.808,0.994,-0.005,29.024,0.749,-0.23
"Amphipod diet","Tentacle.width..um.","22",26.79,0.329,-0.41,28.548,0.291,-0.406
"Amphipod diet","Pedicle.width..um.","21",26.709,0.477,-0.305,28.533,0.448,-0.299
"Amphipod diet","Elastic.strand.width..um.","15",23.602,0.721,-0.16,23.841,0.567,-0.261
"Amphipod diet","Involucrum.length..um.","13",20.716,0.998,0.001,21.01,0.579,0.192
"Amphipod diet","coiledness","21",26.824,0.959,0.041,27.986,0.291,0.792
"Amphipod diet","heteroneme_elongation","19",25.733,0.85,0.148,27.499,0.658,0.36
"Amphipod diet","haploneme_elongation","21",25.951,0.424,0.659,26.241,0.191,1.528
"Amphipod diet","desmoneme_elongation","13",21.999,0.968,-0.153,21.292,0.43,-2.917
"Amphipod diet","rhopaloneme_elongation","13",18.101,0.146,-14.427,17.19,0.155,-14.398
"Amphipod diet","heteroneme_shaft_extension","19",25.729,1,0,27.174,0.502,2.019
"Amphipod diet","Heteroneme_to_CB","18",24.917,0.682,0.141,26.241,0.423,0.278
"Amphipod diet","total_heteroneme_volume","17",21.997,0.338,-0.178,23.363,0.289,-0.183
"Amphipod diet","total_haploneme_volume","21",26.932,0.544,-0.113,28.64,0.491,-0.123
"Amphipod diet","cnidomic_index","22",27.457,0.648,-0.076,29.463,0.577,-0.086
"Amphipod diet","SAV_haploneme","21",26.398,0.482,0.547,27.389,0.208,0.976
"Decapod diet","Heteroneme.free.length..um.","19",26.749,0.281,0.741,28.869,0.254,0.773
"Decapod diet","Heteroneme.width..um.","19",26.007,0.213,0.976,28.184,0.178,1.047
"Decapod diet","Heteroneme.volume..um3.","19",26.034,0.19,0.367,28.05,0.162,0.383
"Decapod diet","Heteroneme.shaft.free.length..um.","19",26.841,0.374,0.616,29.259,0.33,0.648
"Decapod diet","Heteroneme.shaft.width..um.","19",25.945,0.256,0.903,27.909,0.151,1.177
"Decapod diet","Heteroneme.number","17",25.69,0.998,-0.001,27.506,0.965,0.012
"Decapod diet","Haploneme.free.length..um.","21",28.561,0.416,0.619,31.086,0.23,1.022
"Decapod diet","Haploneme.width..um.","21",29.307,1,0,32.558,0.726,-0.214
"Decapod diet","Desmoneme.length..um.","13",21.808,0.995,0.007,21.671,0.606,-0.56
"Decapod diet","Desmoneme.width..um.","13",21.674,0.994,0.009,21.945,0.99,0.014
"Decapod diet","Rhopaloneme.length..um.","13",21.627,0.854,0.19,21.87,0.786,0.275
"Decapod diet","Rhopaloneme.width..um.","13",21.668,0.924,0.096,21.921,0.877,0.152
"Decapod diet","Cnidoband.length..um.","21",29.239,0.776,0.085,32.554,0.721,0.099
"Decapod diet","Cnidoband.free.length..um.","21",28.345,0.233,0.319,30.834,0.194,0.341
"Decapod diet","Cnidoband.width..um.","21",29.322,0.999,0,32.658,0.877,-0.066
"Decapod diet","Haploneme.row.number..um.","21",29.298,1,0,32.669,0.909,0.074
"Decapod diet","Tentacle.width..um.","22",30.326,0.92,0.036,33.745,0.881,0.047
"Decapod diet","Pedicle.width..um.","21",29.121,0.679,0.16,32.454,0.635,0.168
"Decapod diet","Elastic.strand.width..um.","15",23.434,0.424,0.352,23.124,0.253,0.592
"Decapod diet","Involucrum.length..um.","13",11.66,0.076,1.755,7.946,0.287,5.366
"Decapod diet","coiledness","21",23.701,0.029,2.327,21.762,0.016,3.227
"Decapod diet","heteroneme_elongation","19",27.782,0.999,0.001,30.26,0.871,-0.12
"Decapod diet","haploneme_elongation","21",29.303,0.753,0.202,30.796,0.204,0.909
"Decapod diet","desmoneme_elongation","13",20.26,0.256,-4.799,18.357,0.116,-8.091
"Decapod diet","rhopaloneme_elongation","13",21.397,0.68,1.596,21.746,0.66,1.741
"Decapod diet","heteroneme_shaft_extension","19",27.748,1,0.001,29.866,0.536,1.573
"Decapod diet","Heteroneme_to_CB","18",25.916,0.412,-0.265,27.899,0.316,-0.327
"Decapod diet","total_heteroneme_volume","17",24.356,0.465,0.114,26.884,0.438,0.115
"Decapod diet","total_haploneme_volume","21",28.569,0.34,0.166,31.541,0.302,0.175
"Decapod diet","cnidomic_index","22",28.798,0.216,0.195,31.704,0.174,0.205
"Decapod diet","SAV_haploneme","21",29.306,0.999,-0.001,32.63,0.82,0.149
"Polychaete diet","Heteroneme.free.length..um.","19",18.361,0.399,-0.756,16.183,0.442,-0.766
"Polychaete diet","Heteroneme.width..um.","19",18.707,0.597,0.509,16.49,0.588,0.591
"Polychaete diet","Heteroneme.volume..um3.","19",19.04,0.978,-0.009,16.78,0.932,0.033
"Polychaete diet","Heteroneme.shaft.free.length..um.","19",18.495,0.499,-0.577,16.293,0.48,-0.669
"Polychaete diet","Heteroneme.shaft.width..um.","19",18.832,0.705,0.388,16.596,0.666,0.509
"Polychaete diet","Heteroneme.number","17",14.937,0.488,-0.346,10.906,0.539,-0.714
"Polychaete diet","Haploneme.free.length..um.","21",23.359,0.985,-0.019,21.21,0.903,-0.135
"Polychaete diet","Haploneme.width..um.","21",23.245,0.793,0.211,21.095,0.721,0.313
"Polychaete diet","Desmoneme.length..um.","13",17.332,0.977,-0.039,15.11,0.822,-0.347
"Polychaete diet","Desmoneme.width..um.","13",17.363,0.948,0.086,15.145,0.897,-0.198
"Polychaete diet","Rhopaloneme.length..um.","13",16.576,0.446,-1.291,14.343,0.445,-1.619
"Polychaete diet","Rhopaloneme.width..um.","13",17.355,0.983,0.026,15.131,0.862,-0.246
"Polychaete diet","Cnidoband.length..um.","21",22.659,0.511,-0.262,20.459,0.411,-0.375
"Polychaete diet","Cnidoband.free.length..um.","21",22.761,0.257,-0.415,20.503,0.416,-0.304
"Polychaete diet","Cnidoband.width..um.","21",23.369,0.949,0.036,21.221,0.953,-0.036
"Polychaete diet","Haploneme.row.number..um.","21",23.274,0.805,-0.212,21.133,0.763,-0.281
"Polychaete diet","Tentacle.width..um.","22",23.641,0.915,0.044,21.492,0.854,0.082
"Polychaete diet","Pedicle.width..um.","21",23.324,0.761,0.137,21.046,0.676,0.212
"Polychaete diet","Elastic.strand.width..um.","15",17.867,0.863,-0.098,15.541,0.647,-0.335
"Polychaete diet","Involucrum.length..um.","13",13.33,0.718,0.174,10.928,0.726,0.214
"Polychaete diet","coiledness","21",23.305,0.918,-0.095,21.125,0.758,-0.326
"Polychaete diet","heteroneme_elongation","19",16.672,0.214,-1.51,14.285,0.181,-2.149
"Polychaete diet","haploneme_elongation","21",23.141,0.598,-0.395,21.03,0.653,-0.362
"Polychaete diet","desmoneme_elongation","13",17.23,0.749,-1.396,15.059,0.747,-1.542
"Polychaete diet","rhopaloneme_elongation","13",10.951,0.18,-24.737,8.709,0.244,-25.808
"Polychaete diet","heteroneme_shaft_extension","19",18.952,0.645,-1.35,16.746,0.835,-0.717
"Polychaete diet","Heteroneme_to_CB","18",18.776,0.954,-0.025,16.557,0.971,-0.018
"Polychaete diet","total_heteroneme_volume","17",13.878,0.727,-0.083,11.338,0.62,-0.166
"Polychaete diet","total_haploneme_volume","21",23.14,0.677,-0.087,20.995,0.635,-0.108
"Polychaete diet","cnidomic_index","22",23.353,0.641,-0.086,21.179,0.565,-0.117
"Polychaete diet","SAV_haploneme","21",23.261,0.809,-0.21,21.119,0.747,-0.306
"Mollusc diet","Heteroneme.free.length..um.","19",21.884,0.675,-0.323,20.278,0.586,-0.453
"Mollusc diet","Heteroneme.width..um.","19",21.349,0.42,-0.759,19.505,0.329,-1.026
"Mollusc diet","Heteroneme.volume..um3.","19",21.511,0.449,-0.244,19.695,0.367,-0.318
"Mollusc diet","Heteroneme.shaft.free.length..um.","19",21.813,0.606,-0.398,20.186,0.532,-0.507
"Mollusc diet","Heteroneme.shaft.width..um.","19",21.408,0.55,-0.566,19.551,0.336,-1.042
"Mollusc diet","Heteroneme.number","17",16.676,0.426,-0.381,14.089,0.38,-1.202
"Mollusc diet","Haploneme.free.length..um.","21",22.552,0.942,-0.066,21.162,0.804,-0.282
"Mollusc diet","Haploneme.width..um.","21",21.724,0.379,-0.737,19.859,0.27,-1.048
"Mollusc diet","Desmoneme.length..um.","13",19.443,0.979,0.032,18.002,0.834,0.256
"Mollusc diet","Desmoneme.width..um.","13",19.419,0.928,-0.11,17.999,0.833,-0.279
"Mollusc diet","Rhopaloneme.length..um.","13",19.154,0.713,-0.44,17.666,0.564,-0.803
"Mollusc diet","Rhopaloneme.width..um.","13",19.496,0.967,0.045,18.045,0.985,-0.022
"Mollusc diet","Cnidoband.length..um.","21",22.047,0.414,-0.338,20.19,0.348,-0.446
"Mollusc diet","Cnidoband.free.length..um.","21",22.048,0.423,-0.272,20.151,0.331,-0.379
"Mollusc diet","Cnidoband.width..um.","21",21.466,0.283,-0.757,19.538,0.252,-0.944
"Mollusc diet","Haploneme.row.number..um.","21",22.513,0.796,-0.216,20.902,0.576,-0.532
"Mollusc diet","Tentacle.width..um.","22",22.036,0.362,-0.431,20.108,0.275,-0.596
"Mollusc diet","Pedicle.width..um.","21",21.798,0.345,-0.467,19.901,0.275,-0.595
"Mollusc diet","Elastic.strand.width..um.","15",19.973,0.588,-0.29,17.991,0.375,-0.65
"Mollusc diet","Involucrum.length..um.","13",15.867,0.419,-0.418,13.414,0.299,-0.822
"Mollusc diet","coiledness","21",22.539,0.991,-0.01,20.96,0.626,-0.551
"Mollusc diet","heteroneme_elongation","19",21.751,0.813,0.207,20.369,0.657,0.471
"Mollusc diet","haploneme_elongation","21",21.99,0.591,0.478,20.055,0.392,1.267
"Mollusc diet","desmoneme_elongation","13",18.028,0.303,5.247,15.681,0.218,8.436
"Mollusc diet","rhopaloneme_elongation","13",15.282,0.179,-8.556,12.469,0.17,-17.953
"Mollusc diet","heteroneme_shaft_extension","19",21.887,1,0,20.432,0.719,1.31
"Mollusc diet","Heteroneme_to_CB","18",20.906,0.531,0.253,19.087,0.327,0.489
"Mollusc diet","total_heteroneme_volume","17",16.118,0.232,-0.303,13.92,0.208,-0.432
"Mollusc diet","total_haploneme_volume","21",22.022,0.408,-0.18,20.17,0.324,-0.239
"Mollusc diet","cnidomic_index","22",22.411,0.432,-0.154,20.506,0.339,-0.21
"Mollusc diet","SAV_haploneme","21",21.818,0.39,0.76,19.973,0.284,1.056
"Chaetognath diet","Heteroneme.free.length..um.","19",20.466,0.159,-1.2,18.249,0.158,-1.331
"Chaetognath diet","Heteroneme.width..um.","19",21.881,0.454,-0.691,19.706,0.375,-0.914
"Chaetognath diet","Heteroneme.volume..um3.","19",21.153,0.294,-0.352,18.97,0.238,-0.444
"Chaetognath diet","Heteroneme.shaft.free.length..um.","19",20.852,0.231,-0.976,18.701,0.196,-1.144
"Chaetognath diet","Heteroneme.shaft.width..um.","19",22.079,0.506,-0.629,19.917,0.433,-0.819
"Chaetognath diet","Heteroneme.number","17",21.479,0.617,-0.179,19.261,0.48,-0.3
"Chaetognath diet","Haploneme.free.length..um.","21",25.425,0.3,-1.179,23.336,0.33,-1.169
"Chaetognath diet","Haploneme.width..um.","21",26.352,0.708,-0.274,24.27,0.672,-0.325
"Chaetognath diet","Desmoneme.length..um.","13",19.862,0.73,-0.436,17.696,0.574,-0.803
"Chaetognath diet","Desmoneme.width..um.","13",19.43,0.469,-1.103,17.365,0.457,-1.223
"Chaetognath diet","Rhopaloneme.length..um.","13",19.195,0.377,-1.333,17.096,0.394,-1.4
"Chaetognath diet","Rhopaloneme.width..um.","13",19.495,0.588,-0.673,17.295,0.433,-1.165
"Chaetognath diet","Cnidoband.length..um.","21",25.622,0.425,-0.298,23.545,0.37,-0.36
"Chaetognath diet","Cnidoband.free.length..um.","21",25.888,0.507,-0.201,23.776,0.427,-0.258
"Chaetognath diet","Cnidoband.width..um.","21",26.559,0.693,-0.207,24.371,0.78,-0.155
"Chaetognath diet","Haploneme.row.number..um.","21",26.236,0.622,0.392,24.163,0.595,0.444
"Chaetognath diet","Tentacle.width..um.","22",26.883,0.724,-0.136,24.772,0.766,-0.12
"Chaetognath diet","Pedicle.width..um.","21",26.487,0.886,-0.061,24.42,0.862,-0.076
"Chaetognath diet","Elastic.strand.width..um.","15",21.088,0.682,-0.213,18.832,0.684,-0.236
"Chaetognath diet","Involucrum.length..um.","13",20.127,0.966,-0.016,18.032,0.909,-0.046
"Chaetognath diet","coiledness","21",26.515,0.943,0.059,24.448,0.961,-0.043
"Chaetognath diet","heteroneme_elongation","19",22.025,0.466,-0.695,19.89,0.417,-0.838
"Chaetognath diet","haploneme_elongation","21",26.371,0.669,-0.299,24.326,0.721,-0.261
"Chaetognath diet","desmoneme_elongation","13",19.702,0.559,2.522,17.606,0.527,2.948
"Chaetognath diet","rhopaloneme_elongation","13",20.057,0.758,-1.308,17.975,0.789,-1.183
"Chaetognath diet","heteroneme_shaft_extension","19",22.467,0.601,-1.402,20.403,0.67,-1.209
"Chaetognath diet","Heteroneme_to_CB","18",22.256,0.835,0.082,20.144,0.785,0.116
"Chaetognath diet","total_heteroneme_volume","17",20.682,0.2,-0.273,18.45,0.276,-0.242
"Chaetognath diet","total_haploneme_volume","21",25.967,0.292,-0.211,23.724,0.406,-0.174
"Chaetognath diet","cnidomic_index","22",26.413,0.531,-0.108,24.303,0.466,-0.134
"Chaetognath diet","SAV_haploneme","21",26.299,0.663,0.343,24.224,0.635,0.39
"Ostracod diet","Heteroneme.free.length..um.","19",24.152,0.472,-0.517,22.863,0.409,-0.625
"Ostracod diet","Heteroneme.width..um.","19",19.921,0.067,-2.21,17.845,0.053,-2.587
"Ostracod diet","Heteroneme.volume..um3.","19",21.592,0.107,-0.583,19.729,0.089,-0.662
"Ostracod diet","Heteroneme.shaft.free.length..um.","19",23.652,0.322,-0.735,22.277,0.273,-0.843
"Ostracod diet","Heteroneme.shaft.width..um.","19",19.523,0.076,-2.173,17.316,0.052,-2.884
"Ostracod diet","Heteroneme.number","17",19.069,0.153,-0.758,16.301,0.261,-2.126
"Ostracod diet","Haploneme.free.length..um.","21",24.618,0.532,-0.592,23.216,0.309,-1.241
"Ostracod diet","Haploneme.width..um.","21",20.432,0.082,-1.725,18.573,0.061,-2.371
"Ostracod diet","Desmoneme.length..um.","13",19.179,0.993,-0.011,18.033,0.911,0.138
"Ostracod diet","Desmoneme.width..um.","13",19.151,0.969,-0.046,18.026,0.892,-0.177
"Ostracod diet","Rhopaloneme.length..um.","13",19.128,0.871,-0.185,17.967,0.784,-0.342
"Ostracod diet","Rhopaloneme.width..um.","13",19.061,0.802,-0.283,17.863,0.681,-0.522
"Ostracod diet","Cnidoband.length..um.","21",20.155,0.087,-0.923,18.059,0.065,-1.364
"Ostracod diet","Cnidoband.free.length..um.","21",19.487,0.07,-0.856,17.197,0.059,-1.231
"Ostracod diet","Cnidoband.width..um.","21",20.511,0.1,-1.393,18.41,0.072,-2.07
"Ostracod diet","Haploneme.row.number..um.","21",24.254,0.357,-0.795,22.573,0.21,-1.231
"Ostracod diet","Tentacle.width..um.","22",20.912,0.081,-1.019,18.91,0.057,-1.353
"Ostracod diet","Pedicle.width..um.","21",17.523,0.041,-1.43,15.165,0.035,-1.97
"Ostracod diet","Elastic.strand.width..um.","15",19.325,0.21,-0.891,17.099,0.128,-1.616
"Ostracod diet","Involucrum.length..um.","13",17.321,0.131,-0.808,14.914,0.109,-1.22
"Ostracod diet","coiledness","21",23.605,0.313,-1.12,21.685,0.209,-2.159
"Ostracod diet","heteroneme_elongation","19",22.712,0.275,1.017,21.424,0.197,1.531
"Ostracod diet","haploneme_elongation","21",23.343,0.298,1.026,21.362,0.291,2.551
"Ostracod diet","desmoneme_elongation","13",19.069,0.846,0.783,17.311,0.425,3.935
"Ostracod diet","rhopaloneme_elongation","13",18.972,0.519,3.111,17.681,0.57,3.041
"Ostracod diet","heteroneme_shaft_extension","19",23.298,0.493,2.034,21.863,0.247,4.932
"Ostracod diet","Heteroneme_to_CB","18",15.593,0.084,1.577,11.96,0.202,4.69
"Ostracod diet","total_heteroneme_volume","17",18.801,0.099,-0.375,16.805,0.067,-0.547
"Ostracod diet","total_haploneme_volume","21",20.028,0.043,-0.619,17.733,0.046,-0.681
"Ostracod diet","cnidomic_index","22",23.099,0.079,-0.369,20.683,0.085,-0.434
"Ostracod diet","SAV_haploneme","21",20.523,0.08,1.799,18.679,0.057,2.427
"Gelatinous diet","Heteroneme.free.length..um.","19",10.562,0.151,-2.593,7.857,0.277,-4.713
"Gelatinous diet","Heteroneme.width..um.","19",13.685,1,0,11.543,0.605,-0.862
"Gelatinous diet","Heteroneme.volume..um3.","19",13.106,0.445,-0.344,10.535,0.34,-0.72
"Gelatinous diet","Heteroneme.shaft.free.length..um.","19",13.376,0.459,-0.738,11.101,0.396,-1.096
"Gelatinous diet","Heteroneme.shaft.width..um.","19",13.421,0.57,-0.737,10.843,0.391,-1.849
"Gelatinous diet","Heteroneme.number",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Haploneme.free.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Haploneme.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Desmoneme.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Desmoneme.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Rhopaloneme.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Rhopaloneme.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Cnidoband.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Cnidoband.free.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Cnidoband.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Haploneme.row.number..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Tentacle.width..um.","22",12.991,0.329,-0.713,10.252,0.295,-1.441
"Gelatinous diet","Pedicle.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Elastic.strand.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Involucrum.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","coiledness",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","heteroneme_elongation","19",11.775,0.257,-1.713,8.504,0.309,-5.674
"Gelatinous diet","haploneme_elongation",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","desmoneme_elongation",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","rhopaloneme_elongation",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","heteroneme_shaft_extension","19",7.648,0.098,-6.67,4,1,-94.165
"Gelatinous diet","Heteroneme_to_CB",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","total_heteroneme_volume",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","total_haploneme_volume",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","cnidomic_index","22",10.5,0.166,-0.629,4,0.998,-76.978
"Gelatinous diet","SAV_haploneme",NA,NA,NA,NA,NA,NA,NA
