"Prey type","Character","Ntaxa","phyloglmAIC","phyloglmP","phyloglm_b","glmAIC","glmP","glm_b"
"Fish diet","Haploneme.row.number..um.","21",30.87,0.977,0.019,32.083,0.337,0.683
"Fish diet","Tentacle.width..um.","22",29.019,0.058,0.812,28.881,0.044,0.879
"Fish diet","Pedicle.width..um.","21",28.061,0.069,0.859,27.679,0.046,0.958
"Fish diet","Elastic.strand.width..um.","15",23.114,0.475,0.31,23.118,0.324,0.452
"Fish diet","Involucrum.length..um.","13",18.574,0.998,0.001,19.603,0.509,0.235
"Fish diet","coiledness","21",30.879,0.948,-0.045,32.744,0.575,-0.39
"Fish diet","heteroneme_elongation","19",26.645,0.999,0.001,29.664,0.657,0.342
"Fish diet","haploneme_elongation","21",29.457,0.205,-0.83,29.702,0.104,-1.222
"Fish diet","desmoneme_elongation","14",22.754,0.739,-1.122,22.404,0.336,-3.339
"Fish diet","rhopaloneme_elongation","14",21.686,0.214,-5.776,21.502,0.234,-5.705
"Fish diet","heteroneme_shaft_extension","19",26.617,1,0,29.812,0.82,-0.51
"Fish diet","Heteroneme_to_CB","19",26.286,0.711,-0.066,27.377,0.224,-0.389
"Fish diet","total_heteroneme_volume","17",23.89,0.317,0.173,24.946,0.175,0.225
"Fish diet","total_haploneme_volume","21",30.818,0.255,0.199,30.974,0.174,0.239
"Fish diet","cnidomic_index","22",32.12,0.297,0.157,32.543,0.184,0.198
"Amphipod diet","Heteroneme.free.length..um.","19",25.786,1,0,27.693,0.94,0.05
"Amphipod diet","Heteroneme.width..um.","19",25.863,0.732,-0.263,27.567,0.718,-0.266
"Amphipod diet","Heteroneme.volume..um3.","19",25.932,0.853,-0.05,27.647,0.82,-0.059
"Amphipod diet","Heteroneme.shaft.free.length..um.","19",25.782,1,0,27.698,0.974,-0.021
"Amphipod diet","Heteroneme.shaft.width..um.","19",25.8,0.999,-0.001,27.668,0.86,-0.137
"Amphipod diet","Heteroneme.number","17",21.457,0.384,-0.334,21.945,0.171,-0.6
"Amphipod diet","Haploneme.free.length..um.","21",26.859,0.992,-0.008,29.122,0.942,0.06
"Amphipod diet","Haploneme.width..um.","21",26.211,0.413,-0.589,27.072,0.177,-0.977
"Amphipod diet","Desmoneme.length..um.","14",21.529,0.331,-1.319,19.508,0.123,-2.709
"Amphipod diet","Desmoneme.width..um.","14",21.99,0.528,-0.733,20.833,0.211,-1.959
"Amphipod diet","Rhopaloneme.length..um.","14",20.303,0.196,-1.701,18.499,0.093,-2.78
"Amphipod diet","Rhopaloneme.width..um.","14",22.057,0.513,-0.687,21.028,0.197,-1.544
"Amphipod diet","Cnidoband.length..um.","21",26.637,0.347,-0.348,27.857,0.287,-0.373
"Amphipod diet","Cnidoband.free.length..um.","21",26.953,0.618,-0.142,28.803,0.573,-0.153
"Amphipod diet","Cnidoband.width..um.","21",26.26,0.277,-0.656,27.606,0.248,-0.647
"Amphipod diet","Haploneme.row.number..um.","21",26.858,0.85,-0.147,29.053,0.785,-0.202
"Amphipod diet","Tentacle.width..um.","22",26.797,0.329,-0.42,28.55,0.29,-0.416
"Amphipod diet","Pedicle.width..um.","21",26.741,0.495,-0.298,28.587,0.468,-0.291
"Amphipod diet","Elastic.strand.width..um.","15",23.626,0.737,-0.15,23.872,0.584,-0.248
"Amphipod diet","Involucrum.length..um.","13",20.712,1,0,21.255,0.794,0.087
"Amphipod diet","coiledness","21",26.815,0.984,0.016,28.041,0.302,0.771
"Amphipod diet","heteroneme_elongation","19",25.716,0.824,0.177,27.45,0.622,0.409
"Amphipod diet","haploneme_elongation","21",26.006,0.432,0.63,26.44,0.193,1.411
"Amphipod diet","desmoneme_elongation","14",22.532,0.964,-0.156,22.408,0.41,-2.795
"Amphipod diet","rhopaloneme_elongation","14",18.972,0.19,-6.394,18.048,0.121,-12.602
"Amphipod diet","heteroneme_shaft_extension","19",25.792,1,0,27.54,0.7,0.999
"Amphipod diet","Heteroneme_to_CB","19",25.798,0.998,0,27.646,0.823,-0.038
"Amphipod diet","total_heteroneme_volume","17",21.999,0.336,-0.179,23.37,0.29,-0.183
"Amphipod diet","total_haploneme_volume","21",26.903,0.521,-0.119,28.6,0.474,-0.127
"Amphipod diet","cnidomic_index","22",27.433,0.632,-0.08,29.423,0.555,-0.092
"Decapod diet","Heteroneme.free.length..um.","19",26.77,0.284,0.737,28.879,0.256,0.769
"Decapod diet","Heteroneme.width..um.","19",25.81,0.194,1.035,27.998,0.163,1.106
"Decapod diet","Heteroneme.volume..um3.","19",25.926,0.181,0.378,27.936,0.154,0.394
"Decapod diet","Heteroneme.shaft.free.length..um.","19",26.953,0.399,0.583,29.351,0.352,0.616
"Decapod diet","Heteroneme.shaft.width..um.","19",26.244,0.294,0.829,28.241,0.178,1.093
"Decapod diet","Heteroneme.number","17",24.966,0.996,0.001,27.501,0.93,0.024
"Decapod diet","Haploneme.free.length..um.","21",28.611,0.245,0.9,31.142,0.236,0.968
"Decapod diet","Haploneme.width..um.","21",29.301,0.987,0.01,32.564,0.731,-0.204
"Decapod diet","Desmoneme.length..um.","14",22.135,1,0,23.156,0.622,-0.535
"Decapod diet","Desmoneme.width..um.","14",22.136,0.955,0.053,23.389,0.891,0.14
"Decapod diet","Rhopaloneme.length..um.","14",22.141,0.899,0.124,23.368,0.842,0.189
"Decapod diet","Rhopaloneme.width..um.","14",22.142,0.92,0.094,23.371,0.847,0.179
"Decapod diet","Cnidoband.length..um.","21",29.227,0.757,0.094,32.535,0.702,0.108
"Decapod diet","Cnidoband.free.length..um.","21",28.29,0.222,0.331,30.741,0.184,0.353
"Decapod diet","Cnidoband.width..um.","21",29.388,1,0,32.682,0.981,-0.011
"Decapod diet","Haploneme.row.number..um.","21",29.315,1,0,32.641,0.839,0.138
"Decapod diet","Tentacle.width..um.","22",30.308,0.892,0.05,33.733,0.853,0.06
"Decapod diet","Pedicle.width..um.","21",29.115,0.671,0.169,32.443,0.627,0.176
"Decapod diet","Elastic.strand.width..um.","15",23.5,0.44,0.339,23.198,0.263,0.576
"Decapod diet","Involucrum.length..um.","13",9.651,0.218,4.279,7.614,0.267,4.744
"Decapod diet","coiledness","21",23.773,0.029,2.292,21.854,0.016,3.186
"Decapod diet","heteroneme_elongation","19",27.794,0.999,0.001,30.236,0.822,-0.169
"Decapod diet","haploneme_elongation","21",29.301,0.736,0.213,30.807,0.205,0.893
"Decapod diet","desmoneme_elongation","14",20.423,0.215,-4.786,19.119,0.089,-8.088
"Decapod diet","rhopaloneme_elongation","14",22.166,0.998,-0.01,23.408,0.995,0.024
"Decapod diet","heteroneme_shaft_extension","19",27.756,0.972,0.067,29.732,0.481,1.759
"Decapod diet","Heteroneme_to_CB","19",26.422,0.453,-0.143,27.813,0.236,-0.363
"Decapod diet","total_heteroneme_volume","17",24.285,0.436,0.123,26.808,0.412,0.123
"Decapod diet","total_haploneme_volume","21",28.558,0.337,0.166,31.525,0.299,0.175
"Decapod diet","cnidomic_index","22",28.779,0.212,0.198,31.67,0.17,0.208
"Polychaete diet","Heteroneme.free.length..um.","19",18.421,0.422,-0.706,16.206,0.45,-0.747
"Polychaete diet","Heteroneme.width..um.","19",18.717,0.6,0.509,16.51,0.601,0.575
"Polychaete diet","Heteroneme.volume..um3.","19",19.042,0.966,-0.014,16.781,0.941,0.029
"Polychaete diet","Heteroneme.shaft.free.length..um.","19",18.737,0.459,-0.605,16.339,0.5,-0.635
"Polychaete diet","Heteroneme.shaft.width..um.","19",18.855,0.741,0.339,16.605,0.672,0.5
"Polychaete diet","Heteroneme.number","17",14.911,0.474,-0.363,10.89,0.54,-0.739
"Polychaete diet","Haploneme.free.length..um.","21",23.356,0.869,-0.163,21.196,0.866,-0.183
"Polychaete diet","Haploneme.width..um.","21",23.249,0.786,0.213,21.105,0.731,0.294
"Polychaete diet","Desmoneme.length..um.","14",17.656,0.958,-0.071,15.396,0.775,-0.469
"Polychaete diet","Desmoneme.width..um.","14",17.692,0.943,0.093,15.454,0.868,-0.257
"Polychaete diet","Rhopaloneme.length..um.","14",17.021,0.583,-0.762,14.635,0.42,-1.521
"Polychaete diet","Rhopaloneme.width..um.","14",17.696,0.977,-0.034,15.454,0.865,-0.231
"Polychaete diet","Cnidoband.length..um.","21",22.649,0.505,-0.269,20.441,0.405,-0.384
"Polychaete diet","Cnidoband.free.length..um.","21",22.771,0.261,-0.408,20.486,0.411,-0.31
"Polychaete diet","Cnidoband.width..um.","21",23.365,0.976,0.017,21.224,0.972,-0.022
"Polychaete diet","Haploneme.row.number..um.","21",23.278,0.841,-0.177,21.149,0.784,-0.262
"Polychaete diet","Tentacle.width..um.","22",23.619,0.903,0.052,21.493,0.857,0.082
"Polychaete diet","Pedicle.width..um.","21",23.171,0.759,0.147,21.034,0.666,0.225
"Polychaete diet","Elastic.strand.width..um.","15",17.883,0.87,-0.093,15.549,0.652,-0.328
"Polychaete diet","Involucrum.length..um.","13",13.405,0.804,0.117,10.997,0.816,0.139
"Polychaete diet","coiledness","21",23.295,0.908,-0.106,21.119,0.752,-0.335
"Polychaete diet","heteroneme_elongation","19",16.707,0.216,-1.523,14.347,0.184,-2.138
"Polychaete diet","haploneme_elongation","21",23.118,0.581,-0.407,21.004,0.633,-0.379
"Polychaete diet","desmoneme_elongation","14",17.525,0.641,-1.931,15.359,0.725,-1.597
"Polychaete diet","rhopaloneme_elongation","14",10.846,0.19,-25.235,8.653,0.247,-25.94
"Polychaete diet","heteroneme_shaft_extension","19",18.9,0.616,-1.416,16.707,0.77,-0.947
"Polychaete diet","Heteroneme_to_CB","19",19.147,0.817,0.043,16.654,0.748,-0.11
"Polychaete diet","total_heteroneme_volume","17",15.992,0.706,-0.082,11.331,0.616,-0.168
"Polychaete diet","total_haploneme_volume","21",23.145,0.638,-0.097,20.986,0.628,-0.109
"Polychaete diet","cnidomic_index","22",23.321,0.621,-0.092,21.15,0.55,-0.123
"Mollusc diet","Heteroneme.free.length..um.","19",21.896,0.699,-0.298,20.308,0.604,-0.428
"Mollusc diet","Heteroneme.width..um.","19",21.38,0.427,-0.744,19.556,0.339,-1.001
"Mollusc diet","Heteroneme.volume..um3.","19",21.55,0.465,-0.233,19.755,0.381,-0.305
"Mollusc diet","Heteroneme.shaft.free.length..um.","19",21.869,0.672,-0.327,20.284,0.588,-0.438
"Mollusc diet","Heteroneme.shaft.width..um.","19",21.525,0.571,-0.543,19.72,0.379,-0.965
"Mollusc diet","Heteroneme.number","17",16.627,0.421,-0.391,13.982,0.398,-1.326
"Mollusc diet","Haploneme.free.length..um.","21",22.524,0.999,-0.001,21.131,0.764,-0.335
"Mollusc diet","Haploneme.width..um.","21",21.662,0.358,-0.755,19.79,0.259,-1.049
"Mollusc diet","Desmoneme.length..um.","14",19.773,0.999,0.002,18.536,0.91,0.141
"Mollusc diet","Desmoneme.width..um.","14",19.761,1,-0.001,18.462,0.775,-0.383
"Mollusc diet","Rhopaloneme.length..um.","14",19.492,0.672,-0.495,17.97,0.479,-0.974
"Mollusc diet","Rhopaloneme.width..um.","14",19.792,1,0,18.525,0.881,-0.172
"Mollusc diet","Cnidoband.length..um.","21",22.027,0.405,-0.349,20.177,0.344,-0.454
"Mollusc diet","Cnidoband.free.length..um.","21",22.034,0.417,-0.278,20.127,0.326,-0.386
"Mollusc diet","Cnidoband.width..um.","21",21.513,0.28,-0.759,19.612,0.254,-0.917
"Mollusc diet","Haploneme.row.number..um.","21",22.506,0.876,-0.134,20.926,0.588,-0.525
"Mollusc diet","Tentacle.width..um.","22",22.047,0.327,-0.482,20.155,0.282,-0.599
"Mollusc diet","Pedicle.width..um.","21",21.875,0.416,-0.405,19.999,0.291,-0.582
"Mollusc diet","Elastic.strand.width..um.","15",20.029,0.6,-0.279,18.045,0.386,-0.628
"Mollusc diet","Involucrum.length..um.","13",15.574,0.382,-0.448,13.079,0.276,-0.904
"Mollusc diet","coiledness","21",22.531,0.992,-0.009,20.936,0.612,-0.577
"Mollusc diet","heteroneme_elongation","19",21.742,0.803,0.222,20.359,0.65,0.492
"Mollusc diet","haploneme_elongation","21",21.988,0.585,0.477,20.074,0.389,1.219
"Mollusc diet","desmoneme_elongation","14",18.837,0.412,3.489,16.822,0.246,5.963
"Mollusc diet","rhopaloneme_elongation","14",15.56,0.168,-7.177,13.643,0.158,-13.094
"Mollusc diet","heteroneme_shaft_extension","19",21.834,1,0,20.561,0.91,0.358
"Mollusc diet","Heteroneme_to_CB","19",21.917,0.839,0.034,20.564,0.917,0.02
"Mollusc diet","total_heteroneme_volume","17",16.224,0.298,-0.247,13.984,0.211,-0.424
"Mollusc diet","total_haploneme_volume","21",21.985,0.396,-0.184,20.124,0.315,-0.243
"Mollusc diet","cnidomic_index","22",22.364,0.417,-0.161,20.449,0.329,-0.218
"Chaetognath diet","Heteroneme.free.length..um.","19",20.485,0.132,-1.333,18.353,0.164,-1.287
"Chaetognath diet","Heteroneme.width..um.","19",21.964,0.438,-0.717,19.798,0.399,-0.862
"Chaetognath diet","Heteroneme.volume..um3.","19",21.277,0.316,-0.332,19.103,0.254,-0.421
"Chaetognath diet","Heteroneme.shaft.free.length..um.","19",21.086,0.276,-0.867,18.942,0.22,-1.054
"Chaetognath diet","Heteroneme.shaft.width..um.","19",22.257,0.541,-0.581,20.077,0.494,-0.72
"Chaetognath diet","Heteroneme.number","17",21.465,0.609,-0.187,19.256,0.478,-0.306
"Chaetognath diet","Haploneme.free.length..um.","21",25.379,0.304,-1.125,23.287,0.321,-1.155
"Chaetognath diet","Haploneme.width..um.","21",26.315,0.681,-0.294,24.235,0.644,-0.346
"Chaetognath diet","Desmoneme.length..um.","14",20.283,0.693,-0.518,18.086,0.525,-0.972
"Chaetognath diet","Desmoneme.width..um.","14",20.251,0.431,-1.123,17.787,0.44,-1.318
"Chaetognath diet","Rhopaloneme.length..um.","14",19.656,0.477,-0.904,17.398,0.343,-1.477
"Chaetognath diet","Rhopaloneme.width..um.","14",19.828,0.508,-0.795,17.619,0.378,-1.238
"Chaetognath diet","Cnidoband.length..um.","21",25.707,0.457,-0.275,23.571,0.375,-0.358
"Chaetognath diet","Cnidoband.free.length..um.","21",25.898,0.513,-0.199,23.788,0.43,-0.258
"Chaetognath diet","Cnidoband.width..um.","21",26.615,0.672,-0.228,24.398,0.82,-0.129
"Chaetognath diet","Haploneme.row.number..um.","21",26.159,0.574,0.467,24.089,0.554,0.519
"Chaetognath diet","Tentacle.width..um.","22",26.897,0.756,-0.123,24.793,0.794,-0.108
"Chaetognath diet","Pedicle.width..um.","21",26.505,0.925,-0.041,24.44,0.918,-0.046
"Chaetognath diet","Elastic.strand.width..um.","15",21.087,0.696,-0.203,18.863,0.71,-0.213
"Chaetognath diet","Involucrum.length..um.","13",20.222,0.732,-0.126,17.988,0.812,-0.093
"Chaetognath diet","coiledness","21",26.514,0.965,0.037,24.446,0.945,-0.061
"Chaetognath diet","heteroneme_elongation","19",21.956,0.444,-0.744,19.826,0.397,-0.891
"Chaetognath diet","haploneme_elongation","21",26.379,0.682,-0.284,24.335,0.731,-0.249
"Chaetognath diet","desmoneme_elongation","14",20.371,0.653,1.722,18.241,0.589,2.24
"Chaetognath diet","rhopaloneme_elongation","14",20.583,0.758,-1.227,18.493,0.812,-0.992
"Chaetognath diet","heteroneme_shaft_extension","19",22.23,0.508,-1.712,20.186,0.521,-1.722
"Chaetognath diet","Heteroneme_to_CB","19",22.757,0.889,0.025,20.493,0.791,-0.065
"Chaetognath diet","total_heteroneme_volume","17",20.699,0.324,-0.193,18.511,0.284,-0.236
"Chaetognath diet","total_haploneme_volume","21",25.803,0.314,-0.205,23.709,0.401,-0.174
"Chaetognath diet","cnidomic_index","22",26.584,0.28,-0.199,24.28,0.459,-0.137
"Ostracod diet","Heteroneme.free.length..um.","19",24.152,0.471,-0.516,22.862,0.408,-0.623
"Ostracod diet","Heteroneme.width..um.","19",19.54,0.059,-2.343,17.479,0.049,-2.706
"Ostracod diet","Heteroneme.volume..um3.","19",21.507,0.153,-0.487,19.577,0.084,-0.676
"Ostracod diet","Heteroneme.shaft.free.length..um.","19",23.729,0.462,-0.533,22.393,0.292,-0.799
"Ostracod diet","Heteroneme.shaft.width..um.","19",18.973,0.072,-2.407,16.687,0.053,-3.284
"Ostracod diet","Heteroneme.number","17",18.926,0.149,-0.793,16.004,0.291,-2.541
"Ostracod diet","Haploneme.free.length..um.","21",24.579,0.504,-0.613,23.152,0.297,-1.233
"Ostracod diet","Haploneme.width..um.","21",20.733,0.086,-1.614,18.905,0.063,-2.195
"Ostracod diet","Desmoneme.length..um.","14",19.307,0.999,-0.001,18.546,0.967,0.053
"Ostracod diet","Desmoneme.width..um.","14",19.431,1,0,18.513,0.854,-0.239
"Ostracod diet","Rhopaloneme.length..um.","14",19.487,1,-0.001,18.434,0.741,-0.403
"Ostracod diet","Rhopaloneme.width..um.","14",19.388,1,0,18.38,0.689,-0.48
"Ostracod diet","Cnidoband.length..um.","21",20.005,0.084,-0.95,17.891,0.065,-1.409
"Ostracod diet","Cnidoband.free.length..um.","21",19.316,0.067,-0.915,17.019,0.06,-1.275
"Ostracod diet","Cnidoband.width..um.","21",20.399,0.075,-1.668,18.486,0.071,-2.014
"Ostracod diet","Haploneme.row.number..um.","21",24.27,0.362,-0.801,22.604,0.211,-1.239
"Ostracod diet","Tentacle.width..um.","22",20.487,0.073,-1.116,18.446,0.053,-1.48
"Ostracod diet","Pedicle.width..um.","21",17.059,0.037,-1.544,14.683,0.036,-2.115
"Ostracod diet","Elastic.strand.width..um.","15",19.416,0.216,-0.871,17.204,0.13,-1.582
"Ostracod diet","Involucrum.length..um.","13",16.034,0.107,-0.938,13.498,0.1,-1.5
"Ostracod diet","coiledness","21",23.576,0.31,-1.129,21.647,0.208,-2.181
"Ostracod diet","heteroneme_elongation","19",22.457,0.242,1.14,21.135,0.178,1.702
"Ostracod diet","haploneme_elongation","21",23.584,0.325,0.92,21.787,0.273,2.024
"Ostracod diet","desmoneme_elongation","14",19.37,0.937,0.282,18.028,0.489,2.967
"Ostracod diet","rhopaloneme_elongation","14",19.458,0.712,1.457,18.456,0.766,1.353
"Ostracod diet","heteroneme_shaft_extension","19",23.722,0.618,1.296,22.425,0.34,3.678
"Ostracod diet","Heteroneme_to_CB","19",24.093,0.623,0.076,23.02,0.456,0.117
"Ostracod diet","total_heteroneme_volume","17",18.636,0.095,-0.385,16.622,0.066,-0.562
"Ostracod diet","total_haploneme_volume","21",20.048,0.043,-0.613,17.752,0.046,-0.675
"Ostracod diet","cnidomic_index","22",23.182,0.081,-0.368,20.783,0.089,-0.432
"Gelatinous diet","Heteroneme.free.length..um.","19",11.155,0.183,-1.803,8.024,0.268,-4.331
"Gelatinous diet","Heteroneme.width..um.","19",13.656,0.999,-0.001,11.522,0.593,-0.897
"Gelatinous diet","Heteroneme.volume..um3.","19",13.081,0.4,-0.389,10.528,0.337,-0.716
"Gelatinous diet","Heteroneme.shaft.free.length..um.","19",13.409,0.472,-0.712,11.142,0.407,-1.06
"Gelatinous diet","Heteroneme.shaft.width..um.","19",13.389,0.551,-0.806,10.766,0.383,-2.017
"Gelatinous diet","Heteroneme.number",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Haploneme.free.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Haploneme.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Desmoneme.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Desmoneme.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Rhopaloneme.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Rhopaloneme.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Cnidoband.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Cnidoband.free.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Cnidoband.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Haploneme.row.number..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Tentacle.width..um.","22",12.905,0.312,-0.773,10.092,0.294,-1.61
"Gelatinous diet","Pedicle.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Elastic.strand.width..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","Involucrum.length..um.",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","coiledness",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","heteroneme_elongation","19",11.766,0.242,-1.933,8.535,0.313,-5.694
"Gelatinous diet","haploneme_elongation",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","desmoneme_elongation",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","rhopaloneme_elongation",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","heteroneme_shaft_extension","19",7.66,0.099,-6.576,4,1,-93.957
"Gelatinous diet","Heteroneme_to_CB","19",7.592,0.09,0.384,4,1,4.484
"Gelatinous diet","total_heteroneme_volume",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","total_haploneme_volume",NA,NA,NA,NA,NA,NA,NA
"Gelatinous diet","cnidomic_index","22",10.756,0.206,-0.517,4,0.999,-47.797
