obs_id,species,stage,character,attribute,state,source
,Tridensa sulawensis,adult,Temperature in situ ©,min,12,Hissman2005_newrho
,Tridensa sulawensis,adult,Temperature in situ ©,max,20,Hissman2005_newrho
,Tridensa sulawensis,adult,Depth (m),mode,240,Hissman2005_newrho
,Tridensa rotunda,adult,Depth (m),point,246,Hissman2005_newrho
,Tridensa rotunda,adult,Colony length (cm),point,0.26,Hissman2005_newrho
,Tridensa rotunda,adult,Number of type I gastrozooids,point,8,Hissman2005_newrho
,Tridensa rotunda,adult,Atentaculate gastrozooid length (mm),max,13,Hissman2005_newrho
,Tridensa rotunda,adult,Depth (m),min,226,Hissman2005_newrho
,Tridensa rotunda,adult,Depth (m),max,289,Hissman2005_newrho
,Tridensa rotunda,adult,Temperature in situ ©,min,11.6,Hissman2005_newrho
,Tridensa rotunda,adult,Temperature in situ ©,max,15.5,Hissman2005_newrho
,Arancialia captonia,adult,Depth (m),point,123,Hissman2005_newrho
,Arancialia captonia,adult,Depth (m),point,125,Hissman2005_newrho
,Arancialia captonia,adult,Depth (m),point,359,Hissman2005_newrho
,Arancialia captonia,adult,Gastrozooid length (fixed) (mm),point,2.94,Hissman2005_newrho_fig10
,Arancialia captonia,adult,Cnidoband length (um),point,1500,Hissman2005_newrho
,Arancialia captonia,adult,Number of heteroneme rows per side,point,1,Hissman2005_newrho
,Arancialia captonia,adult,Heteroneme number,point,100,Hissman2005_newrho
,Arancialia captonia,adult,Atentaculate gastrozooid length (mm),min,5,Hissman2005_newrho
,Arancialia captonia,adult,Atentaculate gastrozooid length (mm),max,6,Hissman2005_newrho
,Arancialia captonia,adult,Number of type I gastrozooids,point,9,Hissman2005_newrho
,Arancialia captonia,adult,Number of type I gastrozooids,point,3,Hissman2005_newrho
,Arancialia captonia,adult,Number of type I gastrozooids,point,4,Hissman2005_newrho
,Arancialia captonia,adult,Number of type I gastrozooids,point,7,Hissman2005_newrho
,Arancialia captonia,adult,Temperature in situ ©,min,7.5,Hissman2005_newrho
,Arancialia captonia,adult,Temperature in situ ©,max,9,Hissman2005_newrho
,Arancialia captonia,adult,Depth (m),max,361,Hissman2005_newrho
,Archangelopsis jagoa,adult,Depth (m),point,196,Hissman2005_newrho
,Archangelopsis jagoa,adult,Depth (m),point,256,Hissman2005_newrho
,Archangelopsis jagoa,adult,Depth (m),point,178,Hissman2005_newrho
,Archangelopsis jagoa,adult,Number of type I gastrozooids,point,9,Hissman2005_newrho
,Archangelopsis jagoa,adult,Depth (m),min,174,Hissman2005_newrho
,Archangelopsis jagoa,adult,Depth (m),max,256,Hissman2005_newrho
,Archangelopsis jagoa,adult,Temperature in situ ©,min,16,Hissman2005_newrho
,Archangelopsis jagoa,adult,Temperature in situ ©,max,23,Hissman2005_newrho
,Archangelopsis jagoa,adult,Tentacle length (mm),point,150,Hissman2005_newrho
,Archangelopsis jagoa,adult,Prey length (mm),point,1,Hissman2005_newrho
,Archangelopsis jagoa,adult,Prey length (mm),point,2,Hissman2005_newrho
,Archangelopsis jagoa,adult,Prey length (mm),point,10,Hissman2005_newrho
,Archangelopsis jagoa,adult,Prey length (mm),point,8,Hissman2005_newrho
,Nanomia cara,adult,Tentacle length (mm),point,5400,Biggs1977b_Feeding
,Physalia physalis,adult,Tentacle length (mm),point,6000,Biggs1977b_Feeding
,Chelophyes appendiculata,adult,Fishing cycle frequency (times/hour),point,100,Biggs1977b_Feeding
,Agalma okeni,adult,Tentacle number,point,5,Biggs1977b_Feeding
,Agalma okeni,adult,Tentacle number,min,1,Biggs1977b_Feeding
,Agalma okeni,adult,Tentacle number,max,6,Biggs1977b_Feeding
,Agalma okeni,adult,Tentacle spacing (mm),min,1,Biggs1977b_Feeding
,Agalma okeni,adult,Tentacle spacing (mm),max,4,Biggs1977b_Feeding
,Agalma okeni,adult,Tentilla per tentacle,min,20,Biggs1977b_Feeding
,Agalma okeni,adult,Tentilla per tentacle,max,50,Biggs1977b_Feeding
,Agalma okeni,adult,Tentilla spacing (mm),min,3,Biggs1977b_Feeding
,Agalma okeni,adult,Tentilla spacing (mm),max,10,Biggs1977b_Feeding
,Agalma elegans,adult,Tentacle number,min,3,Biggs1977b_Feeding
,Agalma elegans,adult,Tentacle number,max,17,Biggs1977b_Feeding
,Agalma elegans,adult,Tentacle spacing (mm),min,6,Biggs1977b_Feeding
,Agalma elegans,adult,Tentacle spacing (mm),max,30,Biggs1977b_Feeding
,Agalma elegans,adult,Tentilla per tentacle,min,20,Biggs1977b_Feeding
,Agalma elegans,adult,Tentilla per tentacle,max,30,Biggs1977b_Feeding
,Agalma elegans,adult,Tentilla spacing (mm),min,3,Biggs1977b_Feeding
,Agalma elegans,adult,Tentilla spacing (mm),max,10,Biggs1977b_Feeding
,Agalma okeni,adult,Tentilla per tentacle,mean,32,Biggs1977b_Feeding
,Agalma okeni,adult,Tentacle length (mm),mean,320,Biggs1977b_Feeding
,Stephanophyes superba,adult,Tentacle number,min,10,Biggs1977b_Feeding
,Stephanophyes superba,adult,Tentacle number,max,28,Biggs1977b_Feeding
,Stephanophyes superba,adult,Tentacle spacing (mm),min,3,Biggs1977b_Feeding
,Stephanophyes superba,adult,Tentacle spacing (mm),max,15,Biggs1977b_Feeding
,Stephanophyes superba,adult,Tentilla per tentacle,min,9,Biggs1977b_Feeding
,Stephanophyes superba,adult,Tentilla per tentacle,max,15,Biggs1977b_Feeding
,Stephanophyes superba,adult,Tentilla spacing (mm),min,7,Biggs1977b_Feeding
,Stephanophyes superba,adult,Tentilla spacing (mm),max,19,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Tentacle number,min,5,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Tentacle number,max,25,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Tentacle spacing (mm),min,50,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Tentacle spacing (mm),max,200,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Tentilla per tentacle,min,50,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Tentilla per tentacle,max,150,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Tentilla spacing (mm),min,2,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Tentilla spacing (mm),max,7,Biggs1977b_Feeding
,Rosacea cymbiformis,adult,Tentacle number,min,10,Biggs1977b_Feeding
,Rosacea cymbiformis,adult,Tentacle number,max,100,Biggs1977b_Feeding
,Rosacea cymbiformis,adult,Tentacle spacing (mm),min,7,Biggs1977b_Feeding
,Rosacea cymbiformis,adult,Tentacle spacing (mm),max,21,Biggs1977b_Feeding
,Rosacea cymbiformis,adult,Tentilla per tentacle,min,30,Biggs1977b_Feeding
,Rosacea cymbiformis,adult,Tentilla per tentacle,max,55,Biggs1977b_Feeding
,Rosacea cymbiformis,adult,Tentilla spacing (mm),min,2,Biggs1977b_Feeding
,Rosacea cymbiformis,adult,Tentilla spacing (mm),max,5,Biggs1977b_Feeding
,Stephanophyes superba,adult,Prey length (mm),point,7,Biggs1977b_Feeding
,Stephanophyes superba,adult,Prey length (mm),max,10,Biggs1977b_Feeding
,Nanomia bijuga,adult,Prey length (mm),point,17,Biggs1977b_Feeding
,Forskalia tholoides,adult,Prey length (mm),point,6,Biggs1977b_Feeding
,Forskalia tholoides,adult,Prey length (mm),point,7,Biggs1977b_Feeding
,Athorybia rosacea,adult,Prey length (mm),point,6,Biggs1977b_Feeding
,Athorybia rosacea,adult,Prey length (mm),point,9,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Prey length (mm),point,5,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Prey length (mm),point,10,Biggs1977b_Feeding
,Cordagalma ordinatum,adult,Nauplii ingestion rate,point,1,Biggs1977b_Feeding
,Nanomia bijuga,adult,Tentacle number,point,13,Biggs1977b_Feeding
,Rosacea flaccida,adult,Surface temperature ©,point,25.1,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Surface temperature ©,point,19.6,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Surface temperature ©,point,21.2,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Surface temperature ©,point,26.8,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Surface temperature ©,point,23.7,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Surface salinity (%),point,36.6,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Surface salinity (%),point,35.6,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Surface salinity (%),point,35.3,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Tentacle number,min,30,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Tentacle number,max,70,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Heteroneme number,point,30,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Heteroneme length (um),point,75,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Heteroneme width (um),point,8,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Haploneme length (um),point,30,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Haploneme width (um),point,5,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Desmoneme length (um),max,10,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Desmoneme width (um),max,8,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Desmoneme length (um),min,7.5,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Desmoneme width (um),min,7,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Rhopaloneme length (um),point,15,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Rhopaloneme width (um),point,3,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Heteroneme number,point,30,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Heteroneme length (um),point,75,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Heteroneme width (um),point,8.5,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Haploneme length (um),point,37,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Haploneme width (um),point,6.5,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Desmoneme length (um),max,14.5,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Desmoneme width (um),max,10,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Desmoneme length (um),min,12.5,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Desmoneme width (um),min,8.5,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Rhopaloneme length (um),point,13.5,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Rhopaloneme width (um),point,3.5,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Heteroneme number,point,36,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Heteroneme length (um),point,120,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Heteroneme width (um),point,10,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Haploneme length (um),point,50,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Haploneme width (um),point,9,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Desmoneme length (um),max,18,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Desmoneme width (um),max,12.5,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Desmoneme length (um),min,9,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Desmoneme width (um),min,9,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Rhopaloneme length (um),point,30,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Rhopaloneme width (um),point,5.5,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Heteroneme number,point,6,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Heteroneme length (um),point,32.5,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Heteroneme width (um),point,8.5,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Haploneme length (um),point,20,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Desmoneme length (um),point,5,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Desmoneme width (um),point,3.5,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Rhopaloneme length (um),point,7.5,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Rhopaloneme width (um),point,1.5,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Heteroneme length (um),point,140,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Heteroneme width (um),point,9.5,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Haploneme length (um),point,37.5,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Desmoneme length (um),point,13.5,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Desmoneme width (um),point,10,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Rhopaloneme length (um),point,12.5,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Rhopaloneme width (um),point,4.5,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Colony length (cm),min,30,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Colony length (cm),max,70,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Fishing cycle frequency (times/hour),min,180,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Fishing cycle frequency (times/hour),max,240,Biggs1978b_Rflaccida
,Athorybia lucida,adult,Tentilla per tentacle,min,20,Biggs1978c_Athorybia
,Athorybia lucida,adult,Tentilla per tentacle,max,50,Biggs1978c_Athorybia
,Athorybia lucida,adult,Number of terminal filaments,point,2,Biggs1978c_Athorybia
,Athorybia lucida,adult,Number of heteroneme rows per side (proximal cnidoband),point,1,Biggs1978c_Athorybia
,Athorybia lucida,adult,Number of heteroneme rows per side (distal cnidoband),point,1,Biggs1978c_Athorybia
,Athorybia lucida,adult,Cnidoband length (um),point,1200,Biggs1978c_Athorybia_from_figure
,Athorybia lucida,adult,Terminal filament length (um),point,1500,Biggs1978c_Athorybia_from_figure
,Athorybia lucida,adult,Terminal filament length (um),point,500,Biggs1978c_Athorybia_from_figure
,Athorybia lucida,adult,Surface temperature ©,point,23.6,Biggs1978c_Athorybia
,Athorybia lucida,adult,Surface temperature ©,point,23.2,Biggs1978c_Athorybia
,Athorybia lucida,adult,Surface temperature ©,point,23.4,Biggs1978c_Athorybia
,Athorybia lucida,adult,Surface temperature ©,point,24,Biggs1978c_Athorybia
,Athorybia lucida,adult,Surface temperature ©,point,26,Biggs1978c_Athorybia
,Athorybia lucida,adult,Surface temperature ©,point,26.2,Biggs1978c_Athorybia
,Athorybia lucida,adult,Surface salinity (%),point,36.8,Biggs1978c_Athorybia
,Athorybia lucida,adult,Surface salinity (%),point,36.8,Biggs1978c_Athorybia
,Athorybia lucida,adult,Surface salinity (%),point,36.9,Biggs1978c_Athorybia
,Athorybia lucida,adult,Surface salinity (%),point,36.8,Biggs1978c_Athorybia
,Athorybia lucida,adult,Number of zags,point,1.25,Biggs1978c_Athorybia
,Cordagalma ordinatum,adult,Colony length (cm),point,30,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Gastrozooid length (mm),point,2,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Cnidosac length (um),point,40,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Cnidoband length (um),point,40,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Tentilla per tentacle,min,50,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Tentilla per tentacle,max,100,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Heteroneme number,point,5,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Heteroneme length (um),point,17.5,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Heteroneme width (um),point,8.5,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Heteroneme shaft length (um),point,12.5,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Heteroneme shaft width (um),point,6,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Haploneme length (um),point,16,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Haploneme width (um),point,2,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Proximal haploneme length (um),point,16,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Proximal haploneme width (um),point,2,Carre1968_Ccordiformis
